Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Ekebergskråningen,59.8915578,10.763133999999999,lugar 6513 Stena Saga,59.89387549952702,10.75940820645267,Boat or Ferry
Ekebergskråningen,59.8915578,10.763133999999999,Hundejordet Ekeberg,59.894582249249375,10.765401407448968,Dog Run
Ekebergskråningen,59.8915578,10.763133999999999,Port Shop,59.88720198088224,10.76277363771766,Burger Joint
Ekebergskråningen,59.8915578,10.763133999999999,Skyspace,59.89595587822021,10.76270383468928,Public Art
Enerhaugen,59.913294400000005,10.7691243,Lahori Dera Tandoori,59.91316171942033,10.765275304280062,Indian Restaurant
Enerhaugen,59.913294400000005,10.7691243,Grådi,59.91447,10.771133,Bistro
Enerhaugen,59.913294400000005,10.7691243,Golden Chimp,59.91411836049998,10.767512805084515,Dumpling Restaurant
Enerhaugen,59.913294400000005,10.7691243,Postkontoret,59.914087627079894,10.774992357349594,Bar
Enerhaugen,59.913294400000005,10.7691243,Kaffebrenneriet,59.911621,10.76699,Coffee Shop
Enerhaugen,59.913294400000005,10.7691243,Siste Sang,59.911696870595485,10.766617528577699,Beer Store
Enerhaugen,59.913294400000005,10.7691243,Olympen,59.91230682126749,10.764540316069697,Bar
Enerhaugen,59.913294400000005,10.7691243,Human Mote,59.91449945903986,10.776148694539824,Bar
Enerhaugen,59.913294400000005,10.7691243,Oslo Mekaniske Verksted,59.91126046041753,10.76242452422062,Bar
Enerhaugen,59.913294400000005,10.7691243,Darbar,59.915217831850875,10.769865497365902,Indian Restaurant
Enerhaugen,59.913294400000005,10.7691243,Fresh Fitness,59.91191542000023,10.766242832903558,Gym / Fitness Center
Enerhaugen,59.913294400000005,10.7691243,Brutus,59.91135314229696,10.771187787487289,Wine Bar
Enerhaugen,59.913294400000005,10.7691243,Palmyra Café,59.91416141234773,10.763117878100644,Café
Enerhaugen,59.913294400000005,10.7691243,Munks,59.91467553782208,10.775642492246016,Thai Restaurant
Enerhaugen,59.913294400000005,10.7691243,"Piknikparken, Botanisk Hage",59.91641531918093,10.76890440662558,Park
Enerhaugen,59.913294400000005,10.7691243,Norð & Natt,59.914654675478104,10.775468877214779,Bakery
Enerhaugen,59.913294400000005,10.7691243,TSV Workbar,59.914390208930655,10.77545492151864,Coffee Shop
Enerhaugen,59.913294400000005,10.7691243,Wasabi Sushi,59.91452907375352,10.775737448230931,Sushi Restaurant
Enerhaugen,59.913294400000005,10.7691243,Backstube,59.9147106293027,10.775587619238388,Bakery
Enerhaugen,59.913294400000005,10.7691243,Skatten Oslo,59.914588,10.775139,Bar
Enerhaugen,59.913294400000005,10.7691243,Mad Goat Tap Room,59.91117137394141,10.76265518304941,Pub
Enerhaugen,59.913294400000005,10.7691243,Dattera til Hagen,59.91342122291652,10.76030858724276,Bar
Enerhaugen,59.913294400000005,10.7691243,Victoriahuset,59.91759632208471,10.771446208192808,Botanical Garden
Enerhaugen,59.913294400000005,10.7691243,Asylet,59.9128048899648,10.762259046759135,Bar
Enerhaugen,59.913294400000005,10.7691243,Punjab Tandoori,59.91278568980724,10.761837840724349,Indian Restaurant
Enerhaugen,59.913294400000005,10.7691243,Rudolf Nilsens plass,59.916120802464164,10.765458822102236,Park
Enerhaugen,59.913294400000005,10.7691243,Bruket,59.909849,10.76534,Bar
Enerhaugen,59.913294400000005,10.7691243,Brooklyn Burger Joint,59.91449,10.775551,Burger Joint
Enerhaugen,59.913294400000005,10.7691243,Sushi Deluxe,59.90884009740669,10.768290301727914,Sushi Restaurant
Enerhaugen,59.913294400000005,10.7691243,Pigalle,59.912302092494635,10.764537397016724,Lounge
Enerhaugen,59.913294400000005,10.7691243,Anatolia Tyrkisk restaurant,59.91464973895612,10.77570766908094,Turkish Restaurant
Enerhaugen,59.913294400000005,10.7691243,Evita Espressobar,59.91131163883074,10.763131807240924,Coffee Shop
Enerhaugen,59.913294400000005,10.7691243,Caffè Liscio,59.910197469023515,10.763241051340804,Coffee Shop
Enerhaugen,59.913294400000005,10.7691243,Hagestuen Café,59.913673,10.776224,Café
Enerhaugen,59.913294400000005,10.7691243,Caféteatret,59.91043159485169,10.767046884317018,Café
Enerhaugen,59.913294400000005,10.7691243,Botsparken,59.90946057904994,10.769191750328508,Park
Enerhaugen,59.913294400000005,10.7691243,Stamina KEY Grønland,59.91038364451746,10.76274577406357,Gym
Ensjø,59.9144152,10.788475,Safe as Milk,59.9153735372476,10.788560988298476,Gastropub
Ensjø,59.9144152,10.788475,Kampen Bistro,59.91382241448559,10.78106229014384,Bar
Ensjø,59.9144152,10.788475,Kampens Park,59.914838061511546,10.780669610346587,Park
Ensjø,59.9144152,10.788475,Avis Ensjø,59.91540908144795,10.786654118937617,Rental Car Location
Ensjø,59.9144152,10.788475,Boulangerie M,59.91795403109754,10.787386288156576,Bakery
Ensjø,59.9144152,10.788475,SATS,59.910536603252226,10.788357742851424,Gym / Fitness Center
Ensjø,59.9144152,10.788475,Fresh Fitness,59.91466563139453,10.788596090494755,Gym / Fitness Center
Ensjø,59.9144152,10.788475,Jordal Amfi,59.91108411810373,10.785044410197955,Hockey Arena
Ensjø,59.9144152,10.788475,Rema 1000,59.91511585,10.78778977,Grocery Store
Ensjø,59.9144152,10.788475,Narvesen,59.913575140187056,10.788489424466091,Convenience Store
Ensjø,59.9144152,10.788475,Oslo Dyreklinikk,59.91420394299747,10.788570639882671,Veterinarian
Ensjø,59.9144152,10.788475,Kampen Barnebondegård,59.913109,10.785081,Farm
Ensjø,59.9144152,10.788475,Joker,59.91757516160113,10.787233114242554,Grocery Store
Ensjø,59.9144152,10.788475,Javelin Coffee & Tea,59.911938,10.781153,Café
Etterstad,59.9081199,10.7989463,Svartdalsparken,59.904788394979136,10.792934101194875,Park
Etterstad,59.9081199,10.7989463,Rema 1000,59.906656941,10.795617937,Grocery Store
Etterstad,59.9081199,10.7989463,Etterstad Kolonihager,59.90824340343635,10.79308032989502,Garden
Etterstad,59.9081199,10.7989463,Helsfyr I Etterstadsletta,59.91215995545069,10.801007544768755,Bus Station
Gamlebyen,59.9043544,10.769846000000001,Fuglen Coffee Roasters Oslo,59.906185,10.774646,Coffee Shop
Gamlebyen,59.9043544,10.769846000000001,Ladegården Café,59.90620076662241,10.767433044045774,Café
